EID,Set_Name,Node1_Z
1,South_Vs0-Min1,-0.34594249725341797
2,South_Vs0-Min1,-0.6918849945068359
3,South_Vs0-Min1,-1.037827491760254
4,South_Vs0-Min1,-1.3837699890136719
5,South_Vs0-Min1,-1.7297124862670898
6,South_Vs0-Min1,-2.075654983520508
7,South_Vs0-Min1,-2.421597480773926
8,South_Vs0-Min1,-2.7675399780273438
9,South_Vs0-Min1,-3.1134824752807617
10,South_Vs0-Min1,-3.4594249725341797
11,South_Vs0-Min1,-3.8053674697875977
12,South_Vs0-Min1,-4.151309967041016
13,South_Vs0-Min1,-4.497252464294434
14,South_Vs0-Min1,-4.843194961547852
15,South_Vs0-Min1,-5.1891374588012695
16,South_Vs0-Min1,-5.5350799560546875
17,South_Vs0-Min1,-5.8810224533081055
18,South_Vs0-Min1,-6.226964950561523
19,South_Vs0-Min1,-6.572907447814941
20,South_Vs0-Min1,-6.918849945068359
21,South_Vs0-Min1,-7.264792442321777
22,South_Vs0-Min1,-7.610734939575195
23,South_Vs0-Min1,-7.956677436828613
24,South_Vs0-Min1,-8.302619934082031
25,South_Vs0-Min1,-8.64856243133545
26,South_Vs0-Min1,-8.994504928588867
27,South_Vs0-Min1,-9.340447425842285
28,South_Vs0-Min1,-9.686389923095703
29,South_Vs0-Min1,-10.032332420349121
30,South_Vs0-Min1,-10.378274917602539
31,South_Vs0-Min1,-10.724217414855957
32,South_Vs0-Min1,-11.070159912109375
33,South_Vs0-Min1,-11.416102409362793
34,South_Vs0-Min1,-11.762044906616211
35,South_Vs0-Min1,-12.107987403869629
36,South_Vs0-Min1,-12.453929901123047
37,South_Vs0-Min1,-12.799872398376465
38,South_Vs0-Min1,-13.145814895629883
39,South_Vs0-Min1,-13.4917573928833
40,South_Vs0-Min1,-13.837699890136719
41,South_Vs0-Min1,-14.183642387390137
42,South_Vs0-Min1,-14.414420127868652
43,South_Vs0-Min1,-14.645197868347168
44,South_Vs0-Min1,-14.875974655151367
45,South_Vs0-Min1,-15.106752395629883
46,South_Vs0-Min1,-15.337530136108398
47,South_Vs0-Min1,-15.568307876586914
48,South_Vs0-Min1,-15.79908561706543
49,South_Vs0-Min1,-16.029863357543945
50,South_Vs0-Min1,-16.26064109802246
51,South_Vs0-Min1,-16.491418838500977
52,South_Vs0-Min1,-16.722196578979492
53,South_Vs0-Min1,-16.952974319458008
54,South_Vs0-Min1,-17.183752059936523
55,South_Vs0-Min1,-17.414527893066406
56,South_Vs0-Min1,-17.645305633544922
57,South_Vs0-Min1,-17.876083374023438
58,South_Vs0-Min1,-18.106861114501953
59,South_Vs0-Min1,-18.33763885498047
60,South_Vs0-Min1,-18.568416595458984
61,South_Vs0-Min1,-18.7991943359375
62,South_Vs0-Min1,-19.029972076416016
63,South_Vs0-Min1,-19.26074981689453
64,South_Vs0-Min1,-19.491527557373047
65,South_Vs0-Min1,-19.722305297851562
66,South_Vs0-Min1,-19.953083038330078
67,South_Vs0-Min1,-20.183860778808594
68,South_Vs0-Min1,-20.414636611938477
69,South_Vs0-Min1,-20.645414352416992
70,South_Vs0-Min1,-20.876192092895508
71,South_Vs0-Min1,-21.106969833374023
72,South_Vs0-Min1,-21.33774757385254
73,South_Vs0-Min1,-21.568525314331055
74,South_Vs0-Min1,-21.79930305480957
75,South_Vs0-Min1,-22.030080795288086
76,South_Vs0-Min1,-22.2608585357666
77,South_Vs0-Min1,-22.491636276245117
78,South_Vs0-Min1,-22.722414016723633
79,South_Vs0-Min1,-22.95319175720215
80,South_Vs0-Min1,-23.183969497680664
81,South_Vs0-Min1,-23.414745330810547
82,South_Vs0-Min1,-23.645523071289062
83,South_Vs0-Min1,-23.876300811767578
84,South_Vs0-Min1,-24.107078552246094
85,South_Vs0-Min1,-24.33785629272461
86,South_Vs0-Min1,-24.568634033203125
87,South_Vs0-Min1,-24.79941177368164
88,South_Vs0-Min1,-25.030189514160156
89,South_Vs0-Min1,-25.260967254638672
90,South_Vs0-Min1,-25.491744995117188
91,South_Vs0-Min1,-25.722522735595703
92,South_Vs0-Min1,-25.95330047607422
93,South_Vs0-Min1,-26.184078216552734
94,South_Vs0-Min1,-26.41485595703125
95,South_Vs0-Min1,-26.645631790161133
96,South_Vs0-Min1,-26.87640953063965
97,South_Vs0-Min1,-27.107187271118164
98,South_Vs0-Min1,-27.33796501159668
99,South_Vs0-Min1,-27.568742752075195
100,South_Vs0-Min1,-27.79952049255371
101,South_Vs0-Min1,-28.030298233032227
102,South_Vs0-Min1,-28.261075973510742
103,South_Vs0-Min1,-28.491853713989258
104,South_Vs0-Min1,-28.722631454467773
105,South_Vs0-Min1,-28.95340919494629
106,South_Vs0-Min1,-29.184186935424805
107,South_Vs0-Min1,-29.41496467590332
108,South_Vs0-Min1,-29.645740509033203
109,South_Vs0-Min1,-29.87651824951172
110,South_Vs0-Min1,-30.87319564819336
111,South_Vs0-Min1,-31.869873046875
112,South_Vs0-Min1,-32.86655044555664
113,South_Vs0-Min1,-33.86322784423828
114,South_Vs0-Min1,-34.859901428222656
115,South_Vs0-Min1,-35.8565788269043
116,South_Vs0-Min1,-36.85325622558594
117,South_Vs0-Min1,-37.84993362426758
118,South_Vs0-Min1,-38.84661102294922
119,South_Vs0-Min1,-39.84328842163086
120,South_Vs0-Min1,-40.34328842163086
121,South_Vs0-Min1,-40.84328842163086
122,South_Vs0-Min1,-41.34328842163086
123,South_Vs0-Min1,-41.84328842163086
124,South_Vs0-Min1,-42.8399658203125
125,South_Vs0-Min1,-43.417022705078125
126,South_Vs0-Min1,-43.99407958984375
127,South_Vs0-Min1,-45.331138610839844
128,South_Vs0-Min1,-46.66819763183594
129,South_Vs0-Min1,-48.00525665283203
130,South_Vs0-Min1,-49.342315673828125
131,South_Vs0-Min1,-50.67937469482422
132,South_Vs0-Min1,-52.01643371582031
133,South_Vs0-Min1,-52.698490142822266
134,South_Vs0-Min1,-53.380550384521484
135,South_Vs0-Min1,-54.06260681152344
136,South_Vs0-Min1,-54.744667053222656
137,South_Vs0-Min1,-55.42672348022461
138,South_Vs0-Min1,-56.10878372192383
139,South_Vs0-Min1,-56.79084014892578
140,South_Vs0-Min1,-57.472900390625
141,South_Vs0-Min1,-58.03995895385742
142,South_Vs0-Min1,-58.607017517089844
143,South_Vs0-Min1,-59.174076080322266
144,South_Vs0-Min1,-59.74113464355469
145,South_Vs0-Min1,-60.30819320678711
146,South_Vs0-Min1,-60.87525177001953
147,South_Vs0-Min1,-62.23230743408203
148,South_Vs0-Min1,-63.5893669128418
149,South_Vs0-Min1,-64.94642639160156
150,South_Vs0-Min1,-66.30348205566406
151,South_Vs0-Min1,-67.51554107666016
152,South_Vs0-Min1,-68.72760009765625
153,South_Vs0-Min1,-70.80465698242188
154,South_Vs0-Min1,-72.88172149658203
155,South_Vs0-Min1,-74.95877838134766
156,South_Vs0-Min1,-77.03583526611328
157,South_Vs0-Min1,-79.19728088378906
158,South_Vs0-Min1,-81.35873413085938
159,South_Vs0-Min1,-83.52017974853516
160,South_Vs0-Min1,-85.68163299560547
161,South_Vs0-Min1,-87.84307861328125
162,South_Vs0-Min1,-90.00453186035156
163,South_Vs0-Min0,-0.34594249725341797
164,South_Vs0-Min0,-0.6918849945068359
165,South_Vs0-Min0,-1.037827491760254
166,South_Vs0-Min0,-1.3837699890136719
167,South_Vs0-Min0,-1.7297124862670898
168,South_Vs0-Min0,-2.075654983520508
169,South_Vs0-Min0,-2.421597480773926
170,South_Vs0-Min0,-2.7675399780273438
171,South_Vs0-Min0,-3.1134824752807617
172,South_Vs0-Min0,-3.4594249725341797
173,South_Vs0-Min0,-3.8053674697875977
174,South_Vs0-Min0,-4.151309967041016
175,South_Vs0-Min0,-4.497252464294434
176,South_Vs0-Min0,-4.843194961547852
177,South_Vs0-Min0,-5.1891374588012695
178,South_Vs0-Min0,-5.5350799560546875
179,South_Vs0-Min0,-5.8810224533081055
180,South_Vs0-Min0,-6.226964950561523
181,South_Vs0-Min0,-6.572907447814941
182,South_Vs0-Min0,-6.918849945068359
183,South_Vs0-Min0,-7.264792442321777
184,South_Vs0-Min0,-7.610734939575195
185,South_Vs0-Min0,-7.956677436828613
186,South_Vs0-Min0,-8.302619934082031
187,South_Vs0-Min0,-8.64856243133545
188,South_Vs0-Min0,-8.994504928588867
189,South_Vs0-Min0,-9.340447425842285
190,South_Vs0-Min0,-9.686389923095703
191,South_Vs0-Min0,-10.032332420349121
192,South_Vs0-Min0,-10.378274917602539
193,South_Vs0-Min0,-10.724217414855957
194,South_Vs0-Min0,-11.070159912109375
195,South_Vs0-Min0,-11.416102409362793
196,South_Vs0-Min0,-11.762044906616211
197,South_Vs0-Min0,-12.107987403869629
198,South_Vs0-Min0,-12.453929901123047
199,South_Vs0-Min0,-12.799872398376465
200,South_Vs0-Min0,-13.145814895629883
201,South_Vs0-Min0,-13.4917573928833
202,South_Vs0-Min0,-13.837699890136719
203,South_Vs0-Min0,-14.183642387390137
204,South_Vs0-Min0,-14.414420127868652
205,South_Vs0-Min0,-14.645197868347168
206,South_Vs0-Min0,-14.875974655151367
207,South_Vs0-Min0,-15.106752395629883
208,South_Vs0-Min0,-15.337530136108398
209,South_Vs0-Min0,-15.568307876586914
210,South_Vs0-Min0,-15.79908561706543
211,South_Vs0-Min0,-16.029863357543945
212,South_Vs0-Min0,-16.26064109802246
213,South_Vs0-Min0,-16.491418838500977
214,South_Vs0-Min0,-16.722196578979492
215,South_Vs0-Min0,-16.952974319458008
216,South_Vs0-Min0,-17.183752059936523
217,South_Vs0-Min0,-17.414527893066406
218,South_Vs0-Min0,-17.645305633544922
219,South_Vs0-Min0,-17.876083374023438
220,South_Vs0-Min0,-18.106861114501953
221,South_Vs0-Min0,-18.33763885498047
222,South_Vs0-Min0,-18.568416595458984
223,South_Vs0-Min0,-18.7991943359375
224,South_Vs0-Min0,-19.029972076416016
225,South_Vs0-Min0,-19.26074981689453
226,South_Vs0-Min0,-19.491527557373047
227,South_Vs0-Min0,-19.722305297851562
228,South_Vs0-Min0,-19.953083038330078
229,South_Vs0-Min0,-20.183860778808594
230,South_Vs0-Min0,-20.414636611938477
231,South_Vs0-Min0,-20.645414352416992
232,South_Vs0-Min0,-20.876192092895508
233,South_Vs0-Min0,-21.106969833374023
234,South_Vs0-Min0,-21.33774757385254
235,South_Vs0-Min0,-21.568525314331055
236,South_Vs0-Min0,-21.79930305480957
237,South_Vs0-Min0,-22.030080795288086
238,South_Vs0-Min0,-22.2608585357666
239,South_Vs0-Min0,-22.491636276245117
240,South_Vs0-Min0,-22.722414016723633
241,South_Vs0-Min0,-22.95319175720215
242,South_Vs0-Min0,-23.183969497680664
243,South_Vs0-Min0,-23.414745330810547
244,South_Vs0-Min0,-23.645523071289062
245,South_Vs0-Min0,-23.876300811767578
246,South_Vs0-Min0,-24.107078552246094
247,South_Vs0-Min0,-24.33785629272461
248,South_Vs0-Min0,-24.568634033203125
249,South_Vs0-Min0,-24.79941177368164
250,South_Vs0-Min0,-25.030189514160156
251,South_Vs0-Min0,-25.260967254638672
252,South_Vs0-Min0,-25.491744995117188
253,South_Vs0-Min0,-25.722522735595703
254,South_Vs0-Min0,-25.95330047607422
255,South_Vs0-Min0,-26.184078216552734
256,South_Vs0-Min0,-26.41485595703125
257,South_Vs0-Min0,-26.645631790161133
258,South_Vs0-Min0,-26.87640953063965
259,South_Vs0-Min0,-27.107187271118164
260,South_Vs0-Min0,-27.33796501159668
261,South_Vs0-Min0,-27.568742752075195
262,South_Vs0-Min0,-27.79952049255371
263,South_Vs0-Min0,-28.030298233032227
264,South_Vs0-Min0,-28.261075973510742
265,South_Vs0-Min0,-28.491853713989258
266,South_Vs0-Min0,-28.722631454467773
267,South_Vs0-Min0,-28.95340919494629
268,South_Vs0-Min0,-29.184186935424805
269,South_Vs0-Min0,-29.41496467590332
270,South_Vs0-Min0,-29.645740509033203
271,South_Vs0-Min0,-29.87651824951172
272,South_Vs0-Min0,-30.87319564819336
273,South_Vs0-Min0,-31.869873046875
274,South_Vs0-Min0,-32.86655044555664
275,South_Vs0-Min0,-33.86322784423828
