T,RSx,Rsy
10,0.00259852,0.00188598
9.772372231,0.002940781,0.002015273
9.549925842,0.00330629,0.002152818
9.332542966,0.003672489,0.002306139
9.120108361,0.004016688,0.002470543
8.912509416,0.004315758,0.002620079
8.709635911,0.00454356,0.002718299
8.511380418,0.004670542,0.002981069
8.317637743,0.004666547,0.003387166
8.128305167,0.004881577,0.003780892
7.943282359,0.005008413,0.00411233
7.762471176,0.005527906,0.004338251
7.585775742,0.005951992,0.004465229
7.413102427,0.006137551,0.004568434
7.244359625,0.00605964,0.004741609
7.079457867,0.005746688,0.005020717
6.918309713,0.005512357,0.005365514
6.760829746,0.005358115,0.005727228
6.606934473,0.005328216,0.006105484
6.456542286,0.005420914,0.006504065
6.309573455,0.005511277,0.006846825
6.165950009,0.005535199,0.006983181
6.025595851,0.005870721,0.007279052
5.888436562,0.006191406,0.007883021
5.754399369,0.006614381,0.008278324
5.623413252,0.007090914,0.008650336
5.495408734,0.007655903,0.009483122
5.370317954,0.008584487,0.010505701
5.248074597,0.009634464,0.011323093
5.128613839,0.010803163,0.011925727
5.011872349,0.011154152,0.012281426
4.897788205,0.011524557,0.012455494
4.786300925,0.012400729,0.012654654
4.677351412,0.014107936,0.013103867
4.570881904,0.015235313,0.013895343
4.466835919,0.016124589,0.015078199
4.365158328,0.01742148,0.016676853
4.265795179,0.020110151,0.01911229
4.168693833,0.022765833,0.022333373
4.073802771,0.02618081,0.024446524
3.981071708,0.029169992,0.025093298
3.890451454,0.032350914,0.027004016
3.801893966,0.035585858,0.030584891
3.715352296,0.037013638,0.035086058
3.630780552,0.036330687,0.038703828
3.548133894,0.035792053,0.040489908
3.467368508,0.035539515,0.041429161
3.388441558,0.040044448,0.042303049
3.311311215,0.045390105,0.044300641
3.235936572,0.046285858,0.047077446
3.16227766,0.046657098,0.049334903
3.090295432,0.051371645,0.052627813
3.019951725,0.06044058,0.05594917
2.951209228,0.06851748,0.064147238
2.884031507,0.074763577,0.074385765
2.818382933,0.079365904,0.083447413
2.754228702,0.080057576,0.09098271
2.691534805,0.083625217,0.099047019
2.630267994,0.085391262,0.106066136
2.570395783,0.089658681,0.111696026
2.511886429,0.09472225,0.116345173
2.454708915,0.101021735,0.120140122
2.398832922,0.106067612,0.122663733
2.344228814,0.106769984,0.123635045
2.290867654,0.106582005,0.137969728
2.238721139,0.104144907,0.151354199
2.187761622,0.099231517,0.154305124
2.137962091,0.094185137,0.146365175
2.089296132,0.089586799,0.134452786
2.041737946,0.082986593,0.119585414
1.995262313,0.076035288,0.102387732
1.9498446,0.066134275,0.094801901
1.905460719,0.056588481,0.09096597
1.862087138,0.048824762,0.084793176
1.819700858,0.041991829,0.083324365
1.778279411,0.04065418,0.077105734
1.73780083,0.041188217,0.07424485
1.698243653,0.040962931,0.069706354
1.659586908,0.042546498,0.063854439
1.621810097,0.045005398,0.058508687
1.584893194,0.045331564,0.05451897
1.548816619,0.043451853,0.050952948
1.513561248,0.04064526,0.047958004
1.479108389,0.040818375,0.046082926
1.445439771,0.040853532,0.045087081
1.412537545,0.038460894,0.04379304
1.380384265,0.037191582,0.042000108
1.348962883,0.038015642,0.040235562
1.318256739,0.036950425,0.040731324
1.288249551,0.037212899,0.04165565
1.258925411,0.040130113,0.041376024
1.230268771,0.041075367,0.040001494
1.202264435,0.040519483,0.039488238
1.174897555,0.039439377,0.04131185
1.148153621,0.038292693,0.043946696
1.122018454,0.036477028,0.044499961
1.096478197,0.035844759,0.044602529
1.071519305,0.037597561,0.044437333
1.047128548,0.039496831,0.043354409
1.023292992,0.040000783,0.045982845
1,0.038553029,0.049303425
0.977237221,0.037884408,0.052178705
0.954992586,0.038816371,0.052721435
0.933254301,0.040231339,0.051536106
0.912010839,0.040157151,0.052187651
0.891250938,0.039544836,0.05333974
0.87096359,0.038675955,0.052955396
0.851138038,0.038536783,0.049646067
0.831763771,0.04023968,0.04489352
0.812830516,0.042065645,0.043323508
0.794328235,0.042852971,0.043351821
0.776247116,0.044443073,0.045310784
0.758577575,0.045216813,0.045725371
0.741310241,0.044443815,0.044852385
0.72443596,0.043824539,0.042497459
0.707945784,0.044232159,0.041145439
0.691830971,0.044058665,0.040846763
0.676082975,0.043662292,0.039602394
0.660693448,0.044237401,0.04299701
0.645654229,0.045273466,0.043897206
0.630957345,0.047535163,0.042044179
0.616595002,0.050545611,0.041998156
0.602559586,0.054319624,0.04478594
0.588843656,0.05584202,0.046287872
0.575439937,0.055843951,0.049215343
0.562341325,0.053600773,0.049924731
0.549540874,0.048932447,0.051626791
0.537031796,0.044000458,0.049873062
0.52480746,0.040143194,0.046931409
0.512861384,0.036570435,0.043531357
0.501187234,0.033475347,0.04024424
0.489778819,0.031876552,0.037801782
0.478630092,0.032475239,0.034994583
0.467735141,0.032374427,0.034958868
0.45708819,0.031443162,0.036383059
0.446683592,0.030360104,0.03831693
0.436515832,0.029397577,0.039567582
0.426579519,0.028120513,0.03997479
0.416869383,0.028383962,0.038334504
0.407380278,0.029146085,0.036052852
0.39810717,0.02955505,0.034119806
0.389045145,0.02943843,0.032047411
0.380189396,0.029505171,0.032127086
0.371535229,0.029206807,0.030600673
0.363078055,0.028050918,0.031264884
0.354813389,0.026338417,0.032288731
0.34673685,0.025333979,0.032634238
0.338844156,0.025215291,0.031861131
0.331131122,0.024555292,0.030935306
0.323593657,0.023849559,0.03003848
0.316227766,0.023482228,0.028521574
0.309029543,0.023097652,0.027536776
0.301995172,0.022734123,0.027420084
0.295120923,0.022538156,0.027593296
0.28840315,0.022200709,0.027964821
0.281838293,0.022072302,0.028066668
0.27542287,0.022515499,0.028170032
0.26915348,0.02314583,0.028675831
0.263026799,0.023249008,0.029049155
0.257039578,0.02294327,0.029055077
0.251188643,0.022679852,0.028644459
0.245470892,0.022181109,0.028185815
0.239883292,0.021422227,0.027897016
0.234422882,0.021506568,0.027669893
0.229086765,0.021737391,0.027342339
0.223872114,0.021635112,0.026920956
0.218776162,0.02183977,0.026690926
0.213796209,0.022010558,0.026560328
0.208929613,0.02185582,0.026368404
0.204173794,0.021672572,0.026127147
0.199526232,0.021237274,0.026113664
0.19498446,0.020802781,0.026281655
0.190546072,0.020276828,0.026322953
0.186208714,0.019888472,0.026229716
0.181970086,0.020427355,0.026204458
0.177827941,0.020778681,0.026201046
0.173780083,0.020573557,0.026342857
0.169824365,0.020111529,0.026909768
0.165958691,0.020082594,0.027337184
0.16218101,0.019873921,0.027062675
0.158489319,0.019775998,0.026266711
0.154881662,0.01962497,0.025915914
0.151356125,0.019557972,0.025952351
0.147910839,0.019557182,0.025916084
0.144543977,0.019562115,0.025793866
0.141253754,0.01952347,0.025596981
0.138038426,0.019452683,0.025398766
0.134896288,0.019339783,0.025411176
0.131825674,0.019221912,0.025475092
0.128824955,0.019108313,0.025500587
0.125892541,0.019030098,0.025518315
0.123026877,0.019019442,0.025503369
0.120226443,0.019055072,0.025474991
0.117489755,0.019083998,0.025475447
0.114815362,0.019097858,0.025501065
0.112201845,0.019130348,0.025543858
0.10964782,0.019164207,0.025619258
0.107151931,0.019157154,0.025687347
0.104712855,0.019151235,0.025695504
0.102329299,0.019135008,0.025676295
0.1,0.019096552,0.02564518
0.097723722,0.019049311,0.025615257
0.095499259,0.018999111,0.025594327
0.09332543,0.018966807,0.025579336
0.091201084,0.018954875,0.025561461
0.089125094,0.018946494,0.025543426
0.087096359,0.018950414,0.025524267
0.085113804,0.018965627,0.025513206
0.083176377,0.018967371,0.025510888
0.081283052,0.018957741,0.025506808
0.079432823,0.018945829,0.02549455
0.077624712,0.018941564,0.025476092
0.075857757,0.018944357,0.025457048
0.074131024,0.01894694,0.025440499
0.072443596,0.01894964,0.025425944
0.070794578,0.018951106,0.02541508
0.069183097,0.018949569,0.025409308
0.067608298,0.018944787,0.025404447
0.066069345,0.018941237,0.025399787
0.064565423,0.018935615,0.025398456
0.063095734,0.018930008,0.02539701
0.0616595,0.018928156,0.025393671
0.060255959,0.018928528,0.025391637
0.058884366,0.018927312,0.02538781
0.057543994,0.018923909,0.025381518
0.056234133,0.018919827,0.02537705
0.054954087,0.018919613,0.025373747
0.05370318,0.01892051,0.025370897
0.052480746,0.018920351,0.025366511
0.051286138,0.018919297,0.025361218
0.050118731,0.018918979,0.025356123
0.048977881,0.018919543,0.025352346
0.047863012,0.018918792,0.025351411
0.046773516,0.018917338,0.025347281
0.045708811,0.018916996,0.025339712
0.044668362,0.018916831,0.025333254
0.043651577,0.018917045,0.025326928
0.042657949,0.018918309,0.025320819
0.041686937,0.018918749,0.025322505
0.040738026,0.018917651,0.025324237
0.039810724,0.018916848,0.025323241
0.038904511,0.018916399,0.025320688
0.03801894,0.018915315,0.025320325
0.03715352,0.018915271,0.025320429
0.036307802,0.018916532,0.025322333
0.035481338,0.018916591,0.02532091
0.034673679,0.018914692,0.025319703
0.033884418,0.018911737,0.025319713
0.033113109,0.01890847,0.025319663
0.03235937,0.018906493,0.025318253
0.031622773,0.018907167,0.02531571
0.03090295,0.018909398,0.025311722
0.030199519,0.018910069,0.025308224
0.029512088,0.018907787,0.025307653
0.028840311,0.018904961,0.025307203
0.028183828,0.018903958,0.025304545
0.027542284,0.01890473,0.025301946
0.02691535,0.018905524,0.02529869
0.02630268,0.018905283,0.025294276
0.025703961,0.018904653,0.025290769
0.025118862,0.018904917,0.025288441
0.024547088,0.018906649,0.025287313
0.023988328,0.018908239,0.025286986
0.023442289,0.018908078,0.025286845
0.022908678,0.018906611,0.025286103
0.022387211,0.018905227,0.025285288
0.021877616,0.018904169,0.025284857
0.021379623,0.018903547,0.025284378
0.020892961,0.018903227,0.025283931
0.02041738,0.018902965,0.025283561
0.019952624,0.018902643,0.025283209
0.019498445,0.018902332,0.025282866
0.019054606,0.018902076,0.025282512
0.018620871,0.018901722,0.025282105
0.018197008,0.018901069,0.025281701
0.017782795,0.018900149,0.02528119
0.017378009,0.018899352,0.025280643
0.016982435,0.018899482,0.025280572
0.016595869,0.018900245,0.025281066
0.016218101,0.018900584,0.025282055
0.015848933,0.018900653,0.025282755
0.015488167,0.018900684,0.025282501
0.015135614,0.01890025,0.025281485
0.014791083,0.018899807,0.02528018
0.014454397,0.01889958,0.0252784
0.014125375,0.018898998,0.025276169
0.013803842,0.018898447,0.02527402
0.01348963,0.018898201,0.025272333
0.013182567,0.018898077,0.025271188
0.012882496,0.018898029,0.025269997
0.012589255,0.018897928,0.025268258
0.012302688,0.018897666,0.02526695
0.012022644,0.018897142,0.02526619
0.011748976,0.018896329,0.025265168
0.011481536,0.018895254,0.025263952
0.011220185,0.018893698,0.025263144
0.010964782,0.018891851,0.025262516
0.010715193,0.018891082,0.025260787
0.010471285,0.0188922,0.025259885
0.01023293,0.018894862,0.025265712
0.01,0.018900307,0.025278804
